1,Singles American 2% Milk 16 ct Cheese Slices 10.7 oz,Kraft,Food,4.98,CAD
2,Deli Sliced 97% Fat Free Premium Ham 12 oz,Plumrose,Food,5.69,CAD
3,Soda 12 Fl Oz 12 Count,Coca-Cola,Drinks,4.68,CAD
4,Halloween Pumpkin 2-To-Go Chocolate Candy 2.83 Oz 24 Ct,Skickers,Food,27.0,CAD
5,Splash Water Mandarin Orange 16.9 Fl Oz 24 Count,Nestle,Drinks,9.98,CAD
6,Orange Juice 10 Oz-$0.06/Oz 24 Count,Minute Maid,Drinks,14.56,CAD
7,Bread Jumbo Seeded Hamburger Buns 8 ct,Wonder,Food,3.17,CAD
8,100% Pure Beef Patties 8lbs.,Great Value,Food,19.94,CAD
9,Buy Heinz Ketchup 32oz - Get Free Heinz Mayo 30oz,Heinz,Condiments,2.88,CAD
10,Yellow Mustard 20 oz. Bottle,Heinz,Condiments,1.97,CAD
